N°,PC,Bloq,Faja,N° de árbol,Especie (Exp inicial),Especie Reformulada,Código,Diametro (cm),Alt Cial (m),Volumen (m3),Coord  Este,Coord Norte,Condición 1,Fecha tala-Real,N°OP Parte,Código de Árbol,R,Especie Tala,D1 (cm),D2 (cm),L (m),Vol. (m3) Talado,Condición de Tala,Observación,FECHA-ARRASTRE,Obervacion,Fecha Trozado,N° Parte,CORRELATIVO,Codigo Patio,Especie Trozado,D1 (cm),D2 (cm),L (m),Vol. (m3) Trozado,Condición de Tala,Observación,n° de arboles
127,3,1,5,36,Quillosisa,Quillosisa,1-5-36,90,14,5.789,647487,9507158,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
128,3,1,5,37,Caimitillo,Caimitillo,1-5-37,68,14,3.305,647475,9507102,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
129,3,1,5,38,Pashaco,Pashaco,1-5-38,90,12,4.962,647477,9507081,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
130,3,1,5,39,Mari mari,Mari mari,1-5-39,65,14,3.020,647473,9507075,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
131,3,1,6,1,Quillosisa,Quillosisa,1-6-1,85,12,4.426,647554,9508248,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
132,3,1,6,2,Requia,Requia,1-6-2,60,15,2.757,647555,9508248,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
133,3,1,6,3,Añuje rumo,Añuje rumo,1-6-3,56,10,1.601,647551,9508219,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
134,3,1,6,4,Huayruro,Huayruro,1-6-4,56,8,1.281,647551,9508216,Semillero,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
135,3,1,6,5,Almendro,Almendro,1-6-5,81,15,5.024,647547,9508212,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
136,3,1,6,7,Quillosisa,Quillosisa,1-6-7,65,14,3.020,647520,9508193,Aprovechable,,,,,,,,,0.000,,,,,,,,,,,,,0.000,,,1
