N°,PC,Nro Arbol,Faja,Especie,Dap ,HC,HT,CF,VOL M3,ESTE,NORTE,Condicion,Obs,COD_cond,COD_sp1,COD_sp2,COD_GPS
1732,2,103,2,Pashaco,80,19,23,1,6.208,675994,9631539,Aprovechable,,,Pash,,Pash_2/103
1733,2,104,2,Cumala llorona,65,18,21,1,3.882,675962,9631510,Aprovechable,,,Cuma,ll,Cuma ll_2/104
1734,2,105,2,Quillosisa,81,17,20,1,5.694,675955,9631469,Aprovechable,,,Quil,,Quil_2/105
1735,2,106,2,Cumala llorona,50,18,20,1,2.297,675962,9631444,Aprovechable,,,Cuma,ll,Cuma ll_2/106
1736,2,107,2,Cumala blanca,48,17,19,1,0,675958,9631417,Semillero,,S,Cuma,bl,S_Cuma bl_2/107
1737,2,108,2,Almendro,90,14,19,1,5.789,675983,9631433,Aprovechable,,,Alme,,Alme_2/108
1738,2,109,2,Cumala blanca,61,18,21,1,3.419,676006,9631444,Aprovechable,,,Cuma,bl,Cuma bl_2/109
1739,2,110,2,Almendro,74,12,18,1,3.355,676043,9631456,Aprovechable,,,Alme,,Alme_2/110
1740,2,111,2,Almendro,78,16,19,1,4.97,676052,9631439,Aprovechable,,,Alme,,Alme_2/111
1741,2,112,2,Sacha casho,92,18,21,1,7.778,675983,9631373,Aprovechable,,,Sach,ca,Sach ca_2/112
1742,2,113,2,Charapilla,85,20,25,1,7.377,675985,9631311,Aprovechable,,,Char,,Char_2/113
1743,2,114,2,Pashaco,71,18,22,1,4.632,676010,9631299,Aprovechable,,,Pash,,Pash_2/114
1744,2,115,2,Andiroba,50,17,19,1,2.17,675996,9631241,Aprovechable,,,Andi,,Andi_2/115
1745,2,116,2,Palisangre,77,18,20,1,5.448,676017,9631178,Aprovechable,,,Pali,,Pali_2/116
1746,2,117,2,Marupa,57,18,21,1,2.986,675992,9631142,Aprovechable,,,Maru,,Maru_2/117
1747,2,118,2,Cumala blanca,52,20,23,1,2.761,675987,9631106,Aprovechable,,,Cuma,bl,Cuma bl_2/118
1748,2,119,2,Cumala blanca,60,19,22,1,3.492,675984,9631091,Aprovechable,,,Cuma,bl,Cuma bl_2/119
1749,2,120,2,Aguanillo,51,17,19,1,2.257,675991,9631077,Aprovechable,,,Agua,,Agua_2/120
1750,2,121,2,Pashaco,98,18,23,1,8.825,675987,9631051,Aprovechable,,,Pash,,Pash_2/121
1751,2,122,2,Mari mari,58,19,22,1,3.263,675987,9631026,Aprovechable,,,Mari,ma,Mari ma_2/122
1752,2,123,2,Cachimbo,66,18,21,1,4.003,676010,9631007,Aprovechable,,,Cach,,Cach_2/123
1753,2,124,2,Almendro,98,15,19,1,7.354,676019,9631019,Aprovechable,,,Alme,,Alme_2/124
1754,2,125,2,Andiroba,70,18,20,1,4.503,676022,9630990,Aprovechable,,,Andi,,Andi_2/125
1755,2,126,2,Machimango,66,17,20,1,3.78,676005,9630937,Aprovechable,,,Mach,,Mach_2/126
1756,2,127,2,Caimitillo,60,17,19,1,3.124,675988,9630817,Aprovechable,,,Caim,,Caim_2/127
1757,2,128,2,Almendro,100,15,20,1,7.658,675999,9630790,Aprovechable,,,Alme,,Alme_2/128
1758,2,129,2,Cumala blanca,72,19,23,1,5.028,675987,9630773,Aprovechable,,,Cuma,bl,Cuma bl_2/129
1759,2,130,2,Aguanillo,66,22,26,1,4.892,675936,9630708,Aprovechable,,,Agua,,Agua_2/130
1760,2,131,2,Pashaco,77,18,21,1,5.448,675966,9630641,Aprovechable,,,Pash,,Pash_2/131
1761,2,132,2,Mari mari,60,19,23,1,3.492,675959,9630623,Aprovechable,,,Mari,ma,Mari ma_2/132
1762,2,201,3,Cumala blanca,110,18,22,1,11.119,676048,9630635,Aprovechable,,,Cuma,bl,Cuma bl_2/201
1763,2,202,3,Palisangre,80,10,18,2,3.267,676075,9630632,Aprovechable,,,Pali,,Pali_2/202
1764,2,203,3,Azucar huayo,73,18,22,1,4.897,676106,9630688,Aprovechable,,,Azuc,hu,Azuc hu_2/203
1765,2,204,3,Cumala blanca,47,12,18,1,1.353,676097,9630708,Aprovechable,,,Cuma,bl,Cuma bl_2/204
1766,2,205,3,Machimango,70,16,20,1,4.002,676079,9630753,Aprovechable,,,Mach,,Mach_2/205
1767,2,206,3,Cumala blanca,48,10,18,1,1.176,676132,9630785,Aprovechable,,,Cuma,bl,Cuma bl_2/206
1768,2,207,3,Cumala caupuri,62,20,23,1,3.925,676076,9630789,Aprovechable,,,Cuma,ca,Cuma ca_2/207
1769,2,208,3,Charapilla,130,8,18,2,6.902,676054,9630853,Aprovechable,,,Char,,Char_2/208
1770,2,209,3,Panguana,66,16,20,1,3.558,676032,9630855,Aprovechable,,,Pang,,Pang_2/209
1771,2,210,3,Quillosisa,57,16,20,2,2.654,676103,9630880,Aprovechable,,,Quil,,Quil_2/210
1772,2,211,3,Cumala blanca,49,18,22,1,0,676103,9630899,Semillero,,S,Cuma,bl,S_Cuma bl_2/211
1773,2,212,3,Cumala blanca,66,12,18,2,2.669,676163,9630951,Aprovechable,,,Cuma,bl,Cuma bl_2/212
1774,2,213,3,Aguanillo,53,18,21,1,2.581,676132,9630941,Aprovechable,,,Agua,,Agua_2/213
1775,2,214,3,Palisangre,50,16,20,1,0,676120,9630948,Semillero,Panguana,S,Pali,,S_Pali_2/214
1776,2,215,3,Cumala caupuri,64,20,24,1,4.182,676083,9630972,Aprovechable,,,Cuma,ca,Cuma ca_2/215
1777,2,216,3,Canela moena,50,8,16,2,0,676076,9630992,Semillero,,S,Cane,mo,S_Cane mo_2/216
1778,2,217,3,Aguanillo,53,16,20,1,2.294,676099,9631023,Aprovechable,,,Agua,,Agua_2/217
1779,2,218,3,Cumala llorona,63,22,25,1,4.458,676098,9631022,Aprovechable,,,Cuma,ll,Cuma ll_2/218
1780,2,219,3,Mari mari,126,10,17,2,8.105,676103,9631022,Aprovechable,,,Mari,ma,Mari ma_2/219
1781,2,220,3,Cumala caupuri,63,18,22,1,3.647,676146,9631034,Aprovechable,,,Cuma,ca,Cuma ca_2/220
1782,2,221,3,Almendro,120,14,19,1,10.292,676098,9631084,Aprovechable,,,Alme,,Alme_2/221
1783,2,222,3,Pashaco,75,16,20,1,4.595,676088,9631123,Aprovechable,,,Pash,,Pash_2/222
1784,2,223,3,Cumala caupuri,56,20,24,1,0,676085,9631133,Semillero,,S,Cuma,ca,S_Cuma ca_2/223
1785,2,224,3,Zapotillo,60,12,18,1,2.205,676075,9631135,Aprovechable,,,Zapo,,Zapo_2/224
1786,2,225,3,Lupuna,110,16,20,1,9.883,676037,9631150,Aprovechable,,,Lupu,,Lupu_2/225
1787,2,226,3,Aguanillo,60,20,24,1,3.676,676031,9631161,Aprovechable,,,Agua,,Agua_2/226
1788,2,227,3,Aguanillo,60,18,22,1,3.308,676122,9631250,Aprovechable,,,Agua,,Agua_2/227
1789,2,228,3,Panguana,105,16,20,1,9.005,676041,9631338,Aprovechable,,,Pang,,Pang_2/228
1790,2,229,3,Pashaco,73,18,23,1,4.897,676086,9631351,Aprovechable,,,Pash,,Pash_2/229
1791,2,230,3,Pashaco,120,12,18,2,8.822,676134,9631359,Aprovechable,,,Pash,,Pash_2/230
1792,2,231,3,Andiroba,60,12,16,1,2.205,676079,9631440,Aprovechable,,,Andi,,Andi_2/231
1793,2,232,3,Palisangre,106,20,24,1,11.472,676054,9631495,Aprovechable,,,Pali,,Pali_2/232
1794,2,233,3,Pashaco,73,20,24,1,5.441,676077,9631536,Aprovechable,,,Pash,,Pash_2/233
1795,2,234,3,Andiroba,55,20,24,1,3.089,676073,9631551,Aprovechable,,,Andi,,Andi_2/234
1796,2,235,3,Andiroba,67,16,20,2,3.667,676078,9631561,Aprovechable,,,Andi,,Andi_2/235
1797,2,236,3,Cumala blanca,74,16,20,1,4.473,676097,9631663,Aprovechable,,,Cuma,bl,Cuma bl_2/236
1798,2,237,3,Aguanillo,54,16,20,1,2.382,676101,9631700,Aprovechable,,,Agua,,Agua_2/237
1799,2,238,3,Machimango,56,18,22,1,2.882,676099,9631706,Aprovechable,,,Mach,,Mach_2/238
1800,2,239,3,Andiroba,70,12,17,1,3.002,676122,9631707,Aprovechable,,,Andi,,Andi_2/239
1801,2,240,3,Almendro,150,12,18,1,13.784,676077,9631777,Aprovechable,,,Alme,,Alme_2/240
1802,2,241,3,Andiroba,53,18,21,1,0,676076,9631804,Semillero,,S,Andi,,S_Andi_2/241
1803,2,242,3,Cumala blanca,53,8,15,2,1.147,676066,9631812,Aprovechable,,,Cuma,bl,Cuma bl_2/242
1804,2,243,3,Azucar huayo,60,8,14,2,1.47,676124,9631904,Aprovechable,,,Azuc,hu,Azuc hu_2/243
1805,2,244,3,Marupa,80,9,15,1,2.941,676121,9631957,Aprovechable,,,Maru,,Maru_2/244
1806,2,245,3,Cumala llorona,67,8,16,2,1.833,676118,9631960,Aprovechable,,,Cuma,ll,Cuma ll_2/245
1807,2,246,3,Caimitillo,70,8,15,1,2.001,676130,9631971,Aprovechable,,,Caim,,Caim_2/246
1808,2,247,3,Cumala llorona,63,16,20,1,3.242,676078,9632009,Aprovechable,,,Cuma,ll,Cuma ll_2/247
1809,2,248,3,Cumala blanca,54,16,20,1,0,676062,9632019,Semillero,,S,Cuma,bl,S_Cuma bl_2/248
1810,2,249,3,Cumala blanca,60,18,21,1,0,676041,9632054,Semillero,,S,Cuma,bl,S_Cuma bl_2/249
1811,2,250,3,Cumala caupuri,60,20,23,1,3.676,676062,9632075,Aprovechable,,,Cuma,ca,Cuma ca_2/250
1812,2,251,3,Canela moena,53,8,17,2,1.147,676053,9632095,Aprovechable,,,Cane,mo,Cane mo_2/251
1813,2,252,3,Cumala blanca,56,16,20,2,2.562,676056,9632116,Aprovechable,,,Cuma,bl,Cuma bl_2/252
1814,2,253,3,Palisangre,68,8,16,2,1.888,676095,9632135,Aprovechable,,,Pali,,Pali_2/253
1815,2,254,3,Cachimbo,76,18,22,1,5.308,676114,9632141,Aprovechable,,,Cach,,Cach_2/254
1816,2,255,3,Charapilla,75,9,17,1,2.584,676135,9632177,Aprovechable,,,Char,,Char_2/255
1817,2,256,3,Mari mari,70,14,18,1,3.502,676067,9632205,Aprovechable,,,Mari,ma,Mari ma_2/256
1818,2,257,3,Caimitillo,50,12,16,1,1.532,676065,9632227,Aprovechable,,,Caim,,Caim_2/257
1819,2,258,3,Mari mari,60,9,15,2,1.654,676058,9632235,Aprovechable,,,Mari,ma,Mari ma_2/258
1820,2,259,4,Marupa,59,16,20,1,2.843,676202,9632210,Aprovechable,,,Maru,,Maru_2/259
1821,2,260,4,Quillosisa,77,16,20,1,4.843,676208,9632203,Aprovechable,,,Quil,,Quil_2/260
1822,2,261,4,Cumala blanca,47,20,24,1,2.255,676201,9632173,Aprovechable,,,Cuma,bl,Cuma bl_2/261
1823,2,262,4,Mari mari,55,18,22,1,0,676200,9632143,Semillero,,S,Mari,ma,S_Mari ma_2/262
1824,2,263,4,Cumala llorona,50,8,14,2,1.021,676138,9632054,Aprovechable,,,Cuma,ll,Cuma ll_2/263
1825,2,264,4,Palisangre,69,16,21,1,0,676131,9632052,Semillero,,S,Pali,,S_Pali_2/264
1826,2,265,4,Anuje rumo,53,9,15,2,1.291,676129,9632045,Aprovechable,,,Anuj,ru,Anuj ru_2/265
1827,2,266,4,Andiroba,50,10,15,1,0,676179,9631944,Semillero,,S,Andi,,S_Andi_2/266
1828,2,267,4,Cumala blanca,50,16,20,1,2.042,676134,9631886,Aprovechable,,,Cuma,bl,Cuma bl_2/267
1829,2,268,4,Cumala blanca,55,12,16,1,1.853,676146,9631872,Aprovechable,,,Cuma,bl,Cuma bl_2/268
1830,2,269,4,Quillosisa,50,18,22,1,0,676178,9631864,Semillero,,S,Quil,,S_Quil_2/269
1831,2,270,4,Quillosisa,47,14,18,1,1.579,676186,9631860,Aprovechable,,,Quil,,Quil_2/270
1832,2,271,4,Machimango,47,18,21,1,0,676193,9631825,Semillero,,S,Mach,,S_Mach_2/271
1833,2,272,4,Tornillo,70,8,16,2,2.001,676188,9631806,Aprovechable,,,Torn,,Torn_2/272
1834,2,273,4,Quillosisa,50,16,20,1,2.042,676187,9631814,Aprovechable,,,Quil,,Quil_2/273
1835,2,274,4,Andiroba,57,14,18,2,2.322,676162,9631808,Aprovechable,,,Andi,,Andi_2/274
1836,2,275,4,Zapotillo,50,12,16,2,1.532,676161,9631802,Aprovechable,,,Zapo,,Zapo_2/275
1837,2,276,4,Anuje rumo,62,12,17,1,2.355,676128,9631798,Aprovechable,,,Anuj,ru,Anuj ru_2/276
1838,2,277,4,Machimango,57,10,15,1,1.659,676136,9631791,Aprovechable,,,Mach,,Mach_2/277
1839,2,278,4,Aguanillo,54,16,20,1,0,676161,9631728,Semillero,,S,Agua,,S_Agua_2/278
1840,2,279,4,Aguanillo,55,16,20,1,2.471,676173,9631731,Aprovechable,,,Agua,,Agua_2/279
1841,2,280,4,Cumala llorona,60,12,16,1,0,676187,9631720,Semillero,,S,Cuma,ll,S_Cuma ll_2/280
1842,2,281,4,Azucar huayo,75,20,24,1,5.743,676182,9631662,Aprovechable,,,Azuc,hu,Azuc hu_2/281
1843,2,282,4,Almendro,80,16,20,1,5.228,676164,9631634,Aprovechable,,,Alme,,Alme_2/282
1844,2,283,4,Andiroba,70,12,16,1,3.002,676160,9631629,Aprovechable,,,Andi,,Andi_2/283
1845,2,284,4,Palisangre,70,12,17,1,3.002,676163,9631617,Aprovechable,,,Pali,,Pali_2/284
1846,2,285,4,Pashaco,75,18,23,1,5.169,676160,9631578,Aprovechable,,,Pash,,Pash_2/285
1847,2,286,4,Andiroba,70,16,20,1,0,676158,9631578,Semillero,,S,Andi,,S_Andi_2/286
1848,2,287,4,Almendro,145,16,20,1,17.174,676153,9631568,Aprovechable,,,Alme,,Alme_2/287
1849,2,288,4,Pashaco,100,16,20,1,0,676169,9631555,Semillero,,S,Pash,,S_Pash_2/288
1850,2,289,4,Andiroba,85,22,25,1,8.115,676166,9631530,Aprovechable,,,Andi,,Andi_2/289
1851,2,290,4,Andiroba,66,18,22,1,4.003,676175,9631524,Aprovechable,,,Andi,,Andi_2/290
1852,2,291,4,Cumala blanca,57,18,21,1,0,676180,9631515,Semillero,,S,Cuma,bl,S_Cuma bl_2/291
1853,2,292,4,Copal,130,16,20,1,13.804,676215,9631506,Aprovechable,,,Copa,,Copa_2/292
1854,2,293,4,Pashaco,75,18,22,1,5.169,676191,9631468,Aprovechable,,,Pash,,Pash_2/293
1855,2,294,4,Quillosisa,57,24,27,1,3.981,676192,9631457,Aprovechable,,,Quil,,Quil_2/294
1856,2,295,4,Cumala blanca,60,16,20,1,2.941,676157,9631440,Aprovechable,,,Cuma,bl,Cuma bl_2/295
1857,2,296,4,Zapotillo,57,20,24,1,3.317,676165,9631411,Aprovechable,,,Zapo,,Zapo_2/296
1858,2,297,4,Anuje rumo,56,12,16,1,1.921,676175,9631390,Aprovechable,,,Anuj,ru,Anuj ru_2/297
1859,2,298,4,Palisangre,100,16,20,1,8.168,676173,9631372,Aprovechable,,,Pali,,Pali_2/298
1860,2,299,4,Palisangre,90,14,18,1,0,676149,9631353,Semillero,Panguana,S,Pali,,S_Pali_2/299
1861,2,300,4,Almendro,64,12,16,1,2.509,676142,9631351,Aprovechable,,,Alme,,Alme_2/300
1862,2,301,4,Mashonaste,50,14,17,1,1.787,676172,9631326,Aprovechable,,,Mash,,Mash_2/301
1863,2,302,4,Yacushapana,53,16,19,1,2.294,676179,9631335,Aprovechable,,,Yacu,,Yacu_2/302
1864,2,303,4,Cumala llorona,50,14,17,2,1.787,676180,9631335,Aprovechable,,,Cuma,ll,Cuma ll_2/303
1865,2,304,4,Aguanillo,58,14,18,1,2.404,676184,9631308,Aprovechable,,,Agua,,Agua_2/304
1866,2,305,4,Anuje rumo,57,16,20,1,0,676200,9631308,Semillero,,S,Anuj,ru,S_Anuj ru_2/305
1867,2,306,4,Andiroba,74,16,20,1,4.473,676215,9631319,Aprovechable,,,Andi,,Andi_2/306
1868,2,307,4,Yacushapana,70,20,24,2,5.003,676193,9631261,Aprovechable,,,Yacu,,Yacu_2/307
1869,2,308,4,Cumala caupuri,63,20,24,1,4.052,676167,9631221,Aprovechable,,,Cuma,ca,Cuma ca_2/308
1870,2,309,4,Sacha casho,70,12,17,1,3.002,676173,9631207,Aprovechable,,,Sach,ca,Sach ca_2/309
1871,2,310,4,Aguanillo,57,12,16,2,1.99,676145,9631203,Aprovechable,,,Agua,,Agua_2/310
1872,2,311,4,Cumala blanca,68,14,18,2,3.305,676113,9631163,Aprovechable,,,Cuma,bl,Cuma bl_2/311
1873,2,312,4,Andiroba,57,7,12,2,1.161,676147,9631128,Aprovechable,,,Andi,,Andi_2/312
1874,2,313,4,Cumala blanca,47,12,15,2,0,676154,9631141,Semillero,,S,Cuma,bl,S_Cuma bl_2/313
1875,2,314,4,Cumala blanca,57,20,23,1,0,676160,9631098,Semillero,,S,Cuma,bl,S_Cuma bl_2/314
1876,2,315,4,Andiroba,70,14,18,1,0,676193,9631093,Semillero,,S,Andi,,S_Andi_2/315
1877,2,316,4,Marupa,50,12,18,2,1.532,676190,9631056,Aprovechable,,,Maru,,Maru_2/316
1878,2,317,4,Cumala blanca,75,16,20,2,4.595,676200,9631056,Aprovechable,,,Cuma,bl,Cuma bl_2/317
1879,2,318,4,Cumala blanca,53,20,23,1,2.868,676177,9631040,Aprovechable,,,Cuma,bl,Cuma bl_2/318
1880,2,319,4,Cumala llorona,70,16,19,2,4.002,676206,9630939,Aprovechable,,,Cuma,ll,Cuma ll_2/319
1881,2,320,4,Charapilla,70,14,18,1,3.502,676233,9630928,Aprovechable,,,Char,,Char_2/320
1882,2,321,4,Cumala blanca,75,20,23,1,5.743,676192,9630891,Aprovechable,,,Cuma,bl,Cuma bl_2/321
1883,2,322,4,Aguanillo,60,12,17,2,2.205,676178,9630880,Aprovechable,,,Agua,,Agua_2/322
1884,2,323,4,Azucar huayo,90,20,24,1,0,676167,9630867,Semillero,,S,Azuc,hu,S_Azuc hu_2/323
1885,2,324,4,Quillosisa,47,16,20,1,0,676155,9630852,Semillero,,S,Quil,,S_Quil_2/324
1886,2,325,4,Cumala blanca,47,18,21,1,0,676158,9630839,Semillero,,S,Cuma,bl,S_Cuma bl_2/325
1887,2,326,4,Almendro,140,12,17,1,12.007,676182,9630766,Aprovechable,,,Alme,,Alme_2/326
1888,2,327,4,Marupa,56,18,21,1,0,676186,9630773,Semillero,,S,Maru,,S_Maru_2/327
1889,2,328,4,Aguanillo,54,12,16,1,1.786,676185,9630722,Aprovechable,,,Agua,,Agua_2/328
1890,2,329,4,Aguanillo,60,18,21,1,0,676177,9630724,Semillero,,S,Agua,,S_Agua_2/329
1891,2,330,4,Aguanillo,50,20,24,1,2.553,676173,9630712,Aprovechable,,,Agua,,Agua_2/330
1892,2,331,4,Aguanillo,55,12,17,2,1.853,676178,9630701,Aprovechable,,,Agua,,Agua_2/331
1893,2,133,5,Yacushapana,85,14,18,1,5.164,676284,9630660,Aprovechable,,,Yacu,,Yacu_2/133
1894,2,134,5,Machimango,60,18,21,1,3.308,676281,9630674,Aprovechable,,,Mach,,Mach_2/134
1895,2,135,5,Aguanillo,73,20,23,1,5.441,676325,9630890,Aprovechable,,,Agua,,Agua_2/135
1896,2,136,5,Ana caspi,61,16,20,1,3.039,676334,9630924,Aprovechable,,,Ana ,ca,Ana  ca_2/136
1897,2,137,5,Marupa,47,17,20,1,1.917,676297,9631027,Aprovechable,,,Maru,,Maru_2/137
1898,2,138,5,Aguanillo,47,18,231,1,0,676318,9631037,Semillero,,S,Agua,,S_Agua_2/138
1899,2,139,5,Almendro,70,14,19,1,0,676301,9631061,Semillero,,S,Alme,,S_Alme_2/139
1900,2,140,5,Andiroba,70,16,19,1,4.002,676302,9631065,Aprovechable,,,Andi,,Andi_2/140
1901,2,141,5,Cumala llorona,80,17,21,1,5.554,676315,9631118,Aprovechable,,,Cuma,ll,Cuma ll_2/141
1902,2,142,5,Almendro,70,16,19,1,4.002,676336,9631120,Aprovechable,,,Alme,,Alme_2/142
1903,2,143,5,Mari mari,80,20,22,1,6.535,676290,9631141,Aprovechable,,,Mari,ma,Mari ma_2/143
1904,2,144,5,Requia,66,17,20,1,0,676297,9631148,Semillero,,S,Requ,,S_Requ_2/144
1905,2,145,5,Andiroba,80,20,23,1,6.535,676291,9631131,Aprovechable,,,Andi,,Andi_2/145
1906,2,146,5,Lupuna,90,20,24,1,8.27,676274,9631161,Aprovechable,,,Lupu,,Lupu_2/146
1907,2,147,5,Cumala blanca,70,19,22,1,4.753,676269,9631169,Aprovechable,,,Cuma,bl,Cuma bl_2/147
1908,2,148,5,Machimango,66,17,19,1,3.78,676264,9631178,Aprovechable,,,Mach,,Mach_2/148
1909,2,149,5,Cumala llorona,70,18,23,1,4.503,676264,9631206,Aprovechable,,,Cuma,ll,Cuma ll_2/149
1910,2,150,5,Cumala blanca,52,18,20,1,2.485,676281,9631261,Aprovechable,,,Cuma,bl,Cuma bl_2/150
1911,2,151,5,Cumala blanca,57,20,23,1,3.317,676307,9631264,Aprovechable,,,Cuma,bl,Cuma bl_2/151
1912,2,152,5,Andiroba,72,18,20,1,4.764,676297,9631252,Aprovechable,,,Andi,,Andi_2/152
1913,2,153,5,Machimango,66,17,20,1,0,676327,9631263,Semillero,,S,Mach,,S_Mach_2/153
1914,2,154,5,Cumala blanca,70,18,21,1,4.503,676334,9631295,Aprovechable,,,Cuma,bl,Cuma bl_2/154
1915,2,155,5,Cumala llorona,61,17,20,1,3.229,676343,9631303,Aprovechable,,,Cuma,ll,Cuma ll_2/155
1916,2,156,5,Panguana,75,18,20,1,0,676306,9631318,Semillero,,S,Pang,,S_Pang_2/156
1917,2,157,5,Cumala llorona,58,17,19,1,2.92,676275,9631317,Aprovechable,,,Cuma,ll,Cuma ll_2/157
1918,2,158,5,Anuje rumo,66,17,19,1,3.78,676270,9631356,Aprovechable,,,Anuj,ru,Anuj ru_2/158
1919,2,159,5,Aguanillo,53,17,20,1,2.438,676256,9631386,Aprovechable,,,Agua,,Agua_2/159
1920,2,160,5,Anuje rumo,66,18,23,1,4.003,676322,9631518,Aprovechable,,,Anuj,ru,Anuj ru_2/160
1921,2,161,5,Cachimbo,82,17,19,1,5.836,676299,9631646,Aprovechable,,,Cach,,Cach_2/161
1922,2,162,5,Cumala blanca,55,17,20,1,2.625,676253,9631726,Aprovechable,,,Cuma,bl,Cuma bl_2/162
1923,2,163,5,Aguanillo,73,21,23,1,5.713,676246,9631752,Aprovechable,,,Agua,,Agua_2/163
1924,2,164,5,Azucar huayo,52,18,20,1,0,676229,9631753,Semillero,,S,Azuc,hu,S_Azuc hu_2/164
1925,2,165,5,Palisangre,70,17,20,1,4.253,676307,9631835,Aprovechable,,,Pali,,Pali_2/165
1926,2,166,5,Palisangre,80,18,20,1,5.881,676329,9631843,Aprovechable,,,Pali,,Pali_2/166
1927,2,167,5,Andiroba,55,17,21,1,2.625,676336,9631849,Aprovechable,,,Andi,,Andi_2/167
1928,2,168,5,Cumala blanca,60,18,20,1,3.308,676314,9631953,Aprovechable,,,Cuma,bl,Cuma bl_2/168
1929,2,169,5,Tornillo,130,22,26,1,18.981,676231,9632034,Aprovechable,,,Torn,,Torn_2/169
1930,2,170,5,Tornillo,100,16,20,1,0,676286,9632054,Semillero,,S,Torn,,S_Torn_2/170
1931,2,171,5,Palisangre,100,20,24,1,10.21,676330,9632158,Aprovechable,,,Pali,,Pali_2/171
1932,2,172,5,Lupuna,125,23,26,1,0,676325,9632160,Semillero,,S,Lupu,,S_Lupu_2/172
1933,2,173,5,Cumala llorona,48,17,20,1,0,676322,9632157,Semillero,,S,Cuma,ll,S_Cuma ll_2/173
1934,2,174,5,Palisangre,85,17,20,1,0,676277,9632167,Semillero,,S,Pali,,S_Pali_2/174
1935,2,175,5,Caimitillo,60,18,21,1,0,676252,9632171,Semillero,,S,Caim,,S_Caim_2/175
1936,2,176,5,Palisangre,100,19,22,1,9.7,676233,9632244,Aprovechable,,,Pali,,Pali_2/176
1937,2,416,5,Andiroba,70,19,22,1,4.753,676309,9630613,Aprovechable,,,Andi,,Andi_2/416
1938,2,177,6,Cumala blanca,66,20,22,1,4.448,676408,9632230,Aprovechable,,,Cuma,bl,Cuma bl_2/177
1939,2,178,6,Cumala llorona,58,18,21,1,3.091,676379,9632170,Aprovechable,,,Cuma,ll,Cuma ll_2/178
1940,2,179,6,Azucar huayo,60,19,21,1,3.492,676415,9632188,Aprovechable,,,Azuc,hu,Azuc hu_2/179
1941,2,180,6,Panguana,80,17,20,1,5.554,676457,9632115,Aprovechable,,,Pang,,Pang_2/180
1942,2,181,6,Machimango,70,16,19,1,4.002,676456,9632115,Aprovechable,,,Mach,,Mach_2/181
1943,2,182,6,Anuje rumo,66,15,19,1,3.336,676418,9632091,Aprovechable,,,Anuj,ru,Anuj ru_2/182
1944,2,183,6,Quillosisa,66,17,19,1,3.78,676420,9632078,Aprovechable,,,Quil,,Quil_2/183
1945,2,184,6,Cumala blanca,54,18,22,1,0,676384,9632061,Semillero,,S,Cuma,bl,S_Cuma bl_2/184
1946,2,185,6,Cumala blanca,56,19,22,1,3.042,676400,9632019,Aprovechable,,,Cuma,bl,Cuma bl_2/185
1947,2,186,6,Yacushapana,88,18,23,1,7.116,676418,9631962,Aprovechable,,,Yacu,,Yacu_2/186
1948,2,187,6,Palisangre,85,19,23,1,7.008,676419,9631978,Aprovechable,,,Pali,,Pali_2/187
1949,2,188,6,Azucar huayo,66,19,24,1,4.225,676391,9631967,Aprovechable,,,Azuc,hu,Azuc hu_2/188
1950,2,189,6,Aguanillo,55,17,20,1,0,676394,9631951,Semillero,,S,Agua,,S_Agua_2/189
1951,2,190,6,Sacha casho,103,20,24,1,10.832,676409,9631908,Aprovechable,,,Sach,ca,Sach ca_2/190
1952,2,191,6,Cumala blanca,51,18,20,1,2.39,676419,9631841,Aprovechable,,,Cuma,bl,Cuma bl_2/191
1953,2,192,6,Aguanillo,60,20,23,1,3.676,676373,9631727,Aprovechable,,,Agua,,Agua_2/192
1954,2,193,6,Andiroba,66,18,21,1,4.003,676372,9631689,Aprovechable,,,Andi,,Andi_2/193
1955,2,194,6,Almendro,110,15,18,1,9.266,676388,9631671,Aprovechable,,,Alme,,Alme_2/194
1956,2,195,6,Ana caspi,75,19,22,1,0,676387,9631662,Semillero,,S,Ana ,ca,S_Ana  ca_2/195
1957,2,196,6,Panguana,120,18,23,1,13.232,676401,9631648,Aprovechable,,,Pang,,Pang_2/196
1958,2,197,6,Tornillo,92,18,20,1,7.778,676402,9631501,Aprovechable,,,Torn,,Torn_2/197
1959,2,198,6,Machimango,60,17,20,1,0,676360,9631397,Semillero,,S,Mach,,S_Mach_2/198
1960,2,199,6,Ana caspi,100,18,21,1,9.189,676353,9631330,Aprovechable,,,Ana ,ca,Ana  ca_2/199
1961,2,200,6,Aguanillo,46,18,21,1,0,676399,9631275,Semillero,,S,Agua,,S_Agua_2/200
1962,2,401,6,Pashaco,75,20,23,1,5.743,676397,9631122,Aprovechable,,,Pash,,Pash_2/401
1963,2,402,6,Cumala llorona,66,18,20,1,4.003,676373,9631105,Aprovechable,,,Cuma,ll,Cuma ll_2/402
1964,2,403,6,Aguanillo,60,18,22,1,3.308,676371,9631093,Aprovechable,,,Agua,,Agua_2/403
1965,2,404,6,Cumala blanca,55,17,19,1,2.625,676377,9631051,Aprovechable,,,Cuma,bl,Cuma bl_2/404
1966,2,405,6,Almendro,80,16,19,1,5.228,676346,9630961,Aprovechable,,,Alme,,Alme_2/405
1967,2,406,6,Zapotillo,66,16,20,1,3.558,676370,9630801,Aprovechable,,,Zapo,,Zapo_2/406
